개방자치단체코드,관리번호,시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자,최종수정시점
3150000,202631500000400001,서울특별시,강서구,강서구,염창동+등촌1동+등촌2동+등촌3동+가양1동+가양2동+가양3동+화곡본동+화곡1동+화곡2동+화곡3동+화곡4동+화곡6동+화곡8동+우장산동+발산1동+공항동+방화1동+방화2동+방화3동,문전수거,집앞,규격봉투에 넣어 지정요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 지정된 요일에 배출,미운영,미운영,일+월+화+수+목,일+월+화+수+목,일+월+화+수+목,19:00,23:59,19:00,23:59,19:00,23:59,00:00,00:00,토+일+설연휴+추석연휴,자원순환과,02-2600-4063,2026-03-01,2026-03-13 13:12:31
3160000,202431600000400001,서울특별시,구로구,없음,없음,문전수거,"집앞, 점포앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,동주민센터에서 특수마대 구입후 배출,"집앞, 점포앞",일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,20:00,23:59,20:00,23:59,20:00,23:59,00:00,23:59,토+명절,청소행정과,02-860-2912,2025-11-01,2025-11-05 09:09:51
3170000,202031700000400003,서울특별시,금천구,4구역,"시흥2,3,5동",문전수거,문전,규격봉투에 넣어 지정된 요일에 배출,음식물만 전용봉투나 용기에 넣어 지정된 요일에 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,청소과에 신고 후 개인차량 이용 지정된 장소에 배출,금천자원재활용처리장,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,22:00,18:00,22:00,18:00,22:00,15:00,15:00,"명절, 휴가일",청소행정과,02-2627-2375,2019-08-30,2020-11-06 16:11:48
3170000,202031700000400001,서울특별시,금천구,2구역,"독산1,2,4동",문전수거,문전,규격봉투에 넣어 지정된 요일에 배출,음식물만 전용봉투나 용기에 넣어 지정된 요일에 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,청소과에 신고 후 개인차량 이용 지정된 장소에 배출,금천자원재활용처리장,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,22:00,18:00,22:00,18:00,22:00,15:00,15:00,"명절, 휴가일",청소행정과,02-2627-2375,2019-08-30,2020-11-06 16:11:48
3170000,202031700000400002,서울특별시,금천구,1구역,"가산동, 독산3동",문전수거,문전,규격봉투에 넣어 지정된 요일에 배출,음식물만 전용봉투나 용기에 넣어 지정된 요일에 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,청소과에 신고 후 개인차량 이용 지정된 장소에 배출,금천자원재활용처리장,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,22:00,18:00,22:00,18:00,22:00,15:00,15:00,"명절, 휴가일",청소행정과,02-2627-2375,2019-08-30,2020-11-06 16:11:48
3170000,202031700000400004,서울특별시,금천구,3구역,"시흥1,4동",문전수거,문전,규격봉투에 넣어 지정된 요일에 배출,음식물만 전용봉투나 용기에 넣어 지정된 요일에 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,청소과에 신고 후 개인차량 이용 지정된 장소에 배출,금천자원재활용처리장,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,22:00,18:00,22:00,18:00,22:00,15:00,15:00,"명절, 휴가일",청소행정과,02-2627-2375,2019-08-30,2020-11-06 16:11:48
3180000,202031800000400001,서울특별시,영등포구,영등포구(전역),영등포구,문전수거,집앞,종량제 봉투를 흩날리지 않도록 묶어 내집 내점포 앞 배출,물기를 제거 후 음식물 전용봉투에 담아 음식물거점전용용기에 배출,투명한 비닐봉투에 담아 흩날리지 않도록 묶어서 배출 내집 내점포 앞 또는 클린하우스/재활용정거장 배출,배출자가 성상별로 수거업체와 별도 계약 후 배출및 처리,집앞,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,20:00,00:00,20:00,00:00,20:00,00:00,,,명절+임시공휴일+토요일,청소과,26703491,2022-12-31,2022-12-01 10:45:46
3190000,202031900000400001,서울특별시,동작구,없음,노량진1동+노량진2동+상도1동+상도2동+상도3동+상도4동+사당1동+사당2동+사당3동+사당4동+사당5동+대방동+흑석동+신대방1동+신대방2동,문전수거,내집 대문 앞 및 가게 앞,"규격봉투에 넣어 지정요일, 시간 배출",물기제거 후 음식물전용봉투에 배출,투명봉투에 담아서 배출,별도안내,없음,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,17:00,22:00,17:00,22:00,17:00,22:00,,,공휴일 전날 및 토요일,청소행정과,02-820-1326,2024-07-24,2025-11-06 10:29:40
3200000,202032000000400001,서울특별시,관악구,없음,없음,문전수거,집앞,규격봉투에 넣어 배출,물기를 최대한 줄여 음식물만 전용봉투에 배출,투병한 비닐에 분리배출,자가 또는 적정업체에 위탁처리,처리업체로 운반 및 처리,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,23:59,00:00,23:59,명절,청소행정과,02-879-6203,2024-12-02,2024-12-13 15:34:43
3210000,202232100000400012,서울특별시,서초구,4구역,방배2동,문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",일+화+목,일+월+화+수+목+금,일+화+목,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:09:04
3210000,202232100000400011,서울특별시,서초구,3구역,양재2동(원지동),문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",월+수+금,일+월+화+수+목+금,월+수+금,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:09:18
3210000,202232100000400009,서울특별시,서초구,2구역,서초1동+방배3동,문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",월+수+금,일+월+화+수+목+금,월+수+금,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:09:50
3210000,202232100000400014,서울특별시,서초구,5구역,"서초3동(반포대로 동편-남부터미널방면)+내곡동(염곡동,신원동)",문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",일+화+목,일+월+화+수+목+금,일+화+목,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:08:28
3210000,202232100000400008,서울특별시,서초구,2구역,서초2동+서초4동,문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",일+화+목,일+월+화+수+목+금,일+화+목,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:10:07
3210000,202232100000400010,서울특별시,서초구,3구역,양재1동(우면동)+반포본동,문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",일+화+목,일+월+화+수+목+금,일+화+목,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:09:35
3210000,202232100000400007,서울특별시,서초구,1구역,방배4동+잠원동+반포4동(반포대로 서편-서래마을 방면),문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",월+수+금,일+월+화+수+목+금,월+수+금,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:10:28
3210000,202232100000400013,서울특별시,서초구,4구역,반포1동+반포4동(반포대로 동편-미도아파트방면),문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",월+수+금,일+월+화+수+목+금,월+수+금,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:08:48
3210000,202232100000400015,서울특별시,서초구,5구역,서초3동(반포대로 서편-서울고방면),문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",월+수+금,일+월+화+수+목+금,월+수+금,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:08:11
3210000,202232100000400016,서울특별시,서초구,1구역,방배본동+방배1동+반포2동+반포3동,문전수거,"내 집 앞, 내 점포 앞",종량제봉투에 담아 지정된 요일에 배출,가정 : 물기를 최대한 줄여 음식물만 전용봉투에 배출/소형음식점 등 : 종량제봉투 판매소에서 납부필증(스티커)구입후 전용 용기에 부착하여 배출,투명한 비닐봉투나 용기에 성상별로 분류하여 지정된 요일에 배출,대행업체 신고후 배출,"내 집 앞, 내 점포 앞",일+화+목,일+월+화+수+목+금,일+화+목,18:00,01:00,18:00,01:00,18:00,01:00,18:00,01:00,"공휴일, 일요일",청소행정과,02-2155-6720,2025-11-05,2025-11-06 14:57:02
3220000,202032200000400001,서울특별시,강남구,강남구,신사동+압구정동+논현1동+논현2동+청담동+역삼1동+역삼2동+삼성2동+삼성1동+도곡1동+도곡2동+대치1동+대치2동+대치4동+개포1동+개포2동+개포4동+일원1동+일원2동+일원본동+수서동+세곡동,문전수거,문전수거,규격봉투에 넣어 지정된 요일에 배출,전용봉투 혹은 납부필증 부착 후 배출,전용그물망 혹은 투명봉투에 담아 배출,해당사항없음,해당사항없음,일+월+화+수+목+금,일+월+화+수+목+금,월+화+수+목+금+일,20:00,05:00,20:00,05:00,20:00,05:00,,,명절 및 임시공휴일,강남구청 자원순환과,02-3423-5973,2023-12-18,2023-12-18 09:54:13
3230000,202032300000400001,서울특별시,송파구,없음,없음,문전수거,집앞,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용용기에 납부필증 부착 후 지정된 요일에 배출,그물망이나 투명한 비닐봉투에 담아 지정된 요일에 배출,폐기물 수거업체에 신고 후 지정장소에 배출,없음,일+월+화+수+목+금+토,일+월+화+수+목+금+토,일+월+화+수+목+금+토,18:00,22:00,18:00,22:00,18:00,22:00,,,동별상이,청소행정과,02-2147-2840,2023-12-20,2023-12-21 15:03:01
